Id,ActivityHour,StepTotal,Week_Day
1503960366,4/12/2016 0:00,373,3
1503960366,4/12/2016 1:00,160,3
1503960366,4/12/2016 2:00,151,3
1503960366,4/12/2016 3:00,0,3
1503960366,4/12/2016 4:00,0,3
1503960366,4/12/2016 5:00,0,3
1503960366,4/12/2016 6:00,0,3
1503960366,4/12/2016 7:00,0,3
1503960366,4/12/2016 8:00,250,3
1503960366,4/12/2016 9:00,1864,3
1503960366,4/12/2016 10:00,676,3
1503960366,4/12/2016 11:00,360,3
1503960366,4/12/2016 12:00,253,3
1503960366,4/12/2016 13:00,221,3
1503960366,4/12/2016 14:00,1166,3
1503960366,4/12/2016 15:00,2063,3
1503960366,4/12/2016 16:00,344,3
1503960366,4/12/2016 17:00,489,3
1503960366,4/12/2016 18:00,1386,3
1503960366,4/12/2016 19:00,558,3
1503960366,4/12/2016 20:00,1733,3
1503960366,4/12/2016 21:00,684,3
1503960366,4/12/2016 22:00,89,3
1503960366,4/12/2016 23:00,338,3
1503960366,4/13/2016 0:00,144,4
1503960366,4/13/2016 1:00,0,4
1503960366,4/13/2016 2:00,0,4
1503960366,4/13/2016 3:00,36,4
1503960366,4/13/2016 4:00,0,4
1503960366,4/13/2016 5:00,0,4
1503960366,4/13/2016 6:00,0,4
1503960366,4/13/2016 7:00,126,4
1503960366,4/13/2016 8:00,275,4
1503960366,4/13/2016 9:00,1679,4
1503960366,4/13/2016 10:00,295,4
1503960366,4/13/2016 11:00,524,4
1503960366,4/13/2016 12:00,486,4
1503960366,4/13/2016 13:00,302,4
1503960366,4/13/2016 14:00,1577,4
1503960366,4/13/2016 15:00,493,4
1503960366,4/13/2016 16:00,299,4
1503960366,4/13/2016 17:00,695,4
1503960366,4/13/2016 18:00,1343,4
1503960366,4/13/2016 19:00,258,4
1503960366,4/13/2016 20:00,0,4
1503960366,4/13/2016 21:00,0,4
1503960366,4/13/2016 22:00,437,4
1503960366,4/13/2016 23:00,1766,4
1503960366,4/14/2016 0:00,81,5
1503960366,4/14/2016 1:00,58,5
1503960366,4/14/2016 2:00,0,5
1503960366,4/14/2016 3:00,0,5
1503960366,4/14/2016 4:00,0,5
1503960366,4/14/2016 5:00,0,5
1503960366,4/14/2016 6:00,0,5
1503960366,4/14/2016 7:00,0,5
1503960366,4/14/2016 8:00,0,5
